1999, 2.1052145114600864
2000, 3.2619002907168992
2001, 3.2619002907168992
2002, 4.242045059554785
2003, 4.335947286056276
2004, 6.291180868930131
2005, 6.572787683949177
2006, 10.875521198105712
2007, 11.116262548216119
2008, 12.957458000708776
2009, 31.79634342711478
2010, 42.265936019463965
2011, 43.20153793827381
2012, 51.47175047561968
2013, 59.997057654762905
2014, 59.997057654762905
2015, 68.41987090116676
2016, 68.41987090116676
2017, 88.9788618486191
2018, 90.94850458504749
2019, 113.20946182004333
2020, 115.71547492850719
